date,meantemp,humidity,wind_speed,meanpressure
2012-11-06,7.1,81,2.3,1003.9
2012-11-07,8.4,68.4,2.4,1005.9
2012-11-08,8.8,74.6,1.6,1007.6
2012-11-09,9.4,63.6,2.5,1013.2
2012-11-10,12,49.3,4.6,1011.5
2012-11-11,8.7,72,5.3,997.4
2012-11-12,7.3,67.8,4.6,1001.8
2012-11-13,5.3,54.8,3.6,999.2
2012-11-14,2.4,53.3,3.4,1007.2
2012-11-15,4.2,51.5,1.4,1016.3
2012-11-16,4.9,74,2.1,1011.1
2012-11-17,5.3,61.6,3.2,1005.5
2012-11-18,3.5,45.1,1.7,1010.6
2012-11-19,3.4,64.4,3.2,1007.4
2012-11-20,1.9,51.6,2.1,1013.1
2012-11-21,4.1,62.5,1.6,1010.9
2012-11-22,6.7,68.3,2.1,1008
2012-11-23,3.3,63,3.1,1007.9
2012-11-24,1.7,46.9,2.3,1012.4
2012-11-25,3.4,55.6,1.6,1009.9
2012-11-26,2.3,51.5,3.8,1005.3
2012-11-27,2.1,38.9,1.7,1011.3
2012-11-28,5,54.5,3.8,1005.5
2012-11-29,0.8,34.4,2.3,1013.2
2012-11-30,1.7,49.6,2.5,1014
2012-12-01,-0.9,47.9,1.8,1018.1
2012-12-02,2.9,50.4,2.3,1012.5
2012-12-03,1.7,66.9,3.8,1003.7
2012-12-04,-3.3,41.3,3.7,1010.5
2012-12-05,-3.8,66.5,3.2,1005.3
2012-12-06,-6.3,53.4,2.5,1013
2012-12-07,-4.5,76,4.1,1008.1
2012-12-08,-8.2,42.4,2.8,1009.3
2012-12-09,-10.5,45.5,2.8,1010.8
2012-12-10,-8.3,51.3,2,1014.7
2012-12-11,-6.5,55.3,2.1,1015.9
2012-12-12,-5,56.8,1.6,1019.5
2012-12-13,-1.5,55.1,2.7,1020.4
2012-12-14,2.7,79.8,4.5,1008.6
2012-12-15,4.6,78.4,2.2,1007.4
2012-12-16,1.6,77,1.9,1011.5
2012-12-17,-0.4,65.4,3.4,1010.3
2012-12-18,-6.8,49.4,3.4,1015.3
2012-12-19,-6.9,45,2.1,1018.1
2012-12-20,-3.4,49.1,2.4,1020.4
2012-12-21,-0.7,66.1,2.6,1012.2
2012-12-22,-3,67.4,2.9,1012.9
2012-12-23,-8.9,53.9,4.4,1017.3
2012-12-24,-8.8,52,1.9,1017.2
2012-12-25,-8.9,50.9,3.5,1019.8
2012-12-26,-10.8,33.5,2.4,1024.3
2012-12-27,-5.7,47.1,1.6,1020
2012-12-28,-0.9,59.5,1.8,1014.1
2012-12-29,-0.3,84.1,1.9,1010.6
2012-12-30,-8.2,54.6,4,1008.5
2012-12-31,-8.7,45.9,2.2,1010.2
2013-01-01,-4.7,73.5,3.2,1007.6
2013-01-02,-11.7,40.8,4.2,1020.4
2013-01-03,-13.2,42.8,2.8,1026
2013-01-04,-10.7,44.3,1.8,1021.2
2013-01-05,-7,59.4,2.3,1015.4
2013-01-06,-6.3,59.4,1.9,1015.4
2013-01-07,-5.1,53.6,1.7,1014.5
2013-01-08,-4.6,53.4,2.2,1015
2013-01-09,-9,38.5,3,1016.5
2013-01-10,-8.3,41.3,2.3,1019.9
2013-01-11,-3.2,50.5,2.3,1018.3
2013-01-12,0,70,2.5,1014
2013-01-13,-0.5,65.6,1.6,1013.5
2013-01-14,-2.1,61.6,2.2,1010.6
2013-01-15,-2.1,57,2,1014.3
2013-01-16,-2.6,64.1,2.4,1013.3
2013-01-17,-5.8,62.9,2.8,1018.3
2013-01-18,-4.4,51.9,2,1019.4
2013-01-19,0.5,59.9,2,1018.3
2013-01-20,1.6,55.8,3.1,1020
2013-01-21,2.2,83.6,4.3,1010.5
2013-01-22,3.8,74.3,2.2,1010.2
2013-01-23,1.8,80.4,3.1,1008.1
2013-01-24,-0.9,57.6,4.3,1005.9
2013-01-25,-9.1,37.5,4.7,1011.3
2013-01-26,-9.2,37,3.5,1012.6
2013-01-27,-7.3,44.9,2.6,1014.6
2013-01-28,-3.5,56,2.1,1016.1
2013-01-29,2.2,63.5,2.7,1015.8
2013-01-30,5.4,68.8,2.1,1018.9
2013-01-31,7.4,59.5,2.9,1018.9
2013-02-01,7.3,85.8,3.7,1007.1
2013-02-02,-1.1,52.1,4.1,1016.5
2013-02-03,-3.2,62.3,2.7,1014.8
2013-02-04,-0.8,77.1,2.6,1010.1
2013-02-05,-0.6,77,2.4,1010.8
2013-02-06,-1.5,75,3.3,1007.9
2013-02-07,-11.1,42.5,5.5,1014.8
2013-02-08,-11.5,39.3,2.7,1021.2
2013-02-09,-7.2,55.5,1.8,1017.4
2013-02-10,-4,56.6,2.9,1016
2013-02-11,-5.8,41.8,2.1,1020.6
2013-02-12,-3.8,55.6,2.3,1015.2
2013-02-13,-1.3,59.6,2,1016.8
2013-02-14,1.1,60.1,2.3,1014
2013-02-15,-1.2,48.4,3.9,1013.1
2013-02-16,-2.6,38.8,2.1,1016.9
2013-02-17,2.3,44.5,2.5,1010.2
2013-02-18,0.5,49.8,3.5,1008.2
2013-02-19,-2.9,27.5,4,1014.4
2013-02-20,-4.8,35.3,2.6,1018.5
2013-02-21,-1.7,49,2.5,1018.8
2013-02-22,0.5,57.1,3.1,1015
2013-02-23,-0.9,45.9,3.7,1017.8
2013-02-24,1.4,42.4,2.2,1018.9
2013-02-25,3.3,39.4,1.7,1018
2013-02-26,4.8,56.4,2.6,1010
2013-02-27,3.4,69.5,3,1008.7
2013-02-28,6.7,57.3,2.9,1005.5
2013-03-01,0.8,56.1,4.8,1006.3
2013-03-02,-0.8,42.6,3.2,1015.8
2013-03-03,0.4,50.3,2.9,1012.3
2013-03-04,3.1,58.6,2.8,1010.1
2013-03-05,3.7,51.8,3,1013.8
2013-03-06,7.9,43.1,2.2,1009.2
2013-03-07,8,74.1,3.7,1001.2
2013-03-08,8.5,66,2.7,998.6
2013-03-09,13.2,48.8,4.3,996.5
2013-03-10,1.2,32.5,5,1010.6
2013-03-11,4.2,33.4,2.2,1013.8
2013-03-12,7.5,60.4,2.1,1004.7
2013-03-13,5.2,64.5,3.6,1003.7
2013-03-14,4.1,48.9,2.9,1016.5
2013-03-15,4.6,43.4,2.4,1014.9
2013-03-16,6.3,53.6,2.3,1013.4
2013-03-17,8.2,57.5,2.9,1003.4
2013-03-18,8.3,73,3.3,994.3
2013-03-19,8,61.1,2.2,1001.6
2013-03-20,2.8,51.9,4.3,1002.6
2013-03-21,1.5,34.3,2.5,1007.2
2013-03-22,3.4,61.6,2.3,1003.2
2013-03-23,5.4,39,2.3,1004.5
2013-03-24,5.1,47.4,3.9,1002.6
2013-03-25,2.8,40.3,3.8,1007.2
2013-03-26,4.4,39.9,2.5,1010.3
2013-03-27,7.5,30.1,2.8,1005.6
2013-03-28,7.3,42.1,2.7,1006.3
2013-03-29,5.4,28.6,3.4,1010.4
2013-03-30,4.9,43.1,2.3,1011.9
2013-03-31,6.3,46.4,2.7,1012.7
2013-04-01,9.2,44.5,2.2,1009.3
2013-04-02,7.2,86.1,2.7,1002.7
2013-04-03,7.9,64,2.6,1005.7
2013-04-04,12.6,44.5,1.9,1006.1
2013-04-05,14.6,42.1,2.6,1002.5
2013-04-06,7.5,84.4,2.9,990.7
2013-04-07,5.1,57.3,4.4,995.8
2013-04-08,8,55.1,4,1002.5
2013-04-09,6.2,50.8,5.1,1003.2
2013-04-10,5,49.3,4.1,1006.7
2013-04-11,5.5,54.5,4.9,1005.4
2013-04-12,6.9,42.6,3.7,1007.7
2013-04-13,11.4,38.6,4.5,1001.3
2013-04-14,8.3,40.4,4.7,998.1
2013-04-15,7.5,31.5,2,1000.1
2013-04-16,13.2,54.5,4.4,993.9
2013-04-17,14.8,62.3,2.9,997.7
2013-04-18,12.3,37.4,4,1001.1
2013-04-19,9.8,27,3.2,1007.1
2013-04-20,6.6,70.8,2.3,1006.5
2013-04-21,9,58.8,3.3,1008.3
2013-04-22,11.4,43.8,2.5,1011.2
2013-04-23,11.2,59.3,2.7,1004.7
2013-04-24,12.3,67,3.7,999.2
2013-04-25,9.3,78.9,3.3,998.3
2013-04-26,11.7,55,3.6,999.7
2013-04-27,12.8,51.4,2.8,1006.3
2013-04-28,16,51,3.8,1006.5
2013-04-29,13.5,67.6,4.5,1000.9
2013-04-30,13.4,48.8,3.5,998.5
2013-05-01,13.2,52.4,3.3,1000.2
2013-05-02,12.4,67.1,2.5,1001.9
2013-05-03,12.6,64.8,3.2,1005
2013-05-04,13.9,58.1,3.1,1008.4
2013-05-05,14.3,51.8,3.4,1010.3
2013-05-06,14.6,54,3,1007.9
2013-05-07,18.7,41.4,2.7,1009.5
2013-05-08,19.4,33.6,2.7,1008.9
2013-05-09,18.1,55.3,2.1,1002.7
2013-05-10,14,89.3,3.6,992.7
2013-05-11,17.9,55.5,3.5,994
2013-05-12,19.1,61.3,4,994.7
2013-05-13,21.6,45,3.5,1000.6
2013-05-14,20.2,46.9,2.9,1001.9
2013-05-15,19.4,57,3.3,1002.7
2013-05-16,22,33.3,4.2,1006.8
2013-05-17,20.2,36.6,3,1005.7
2013-05-18,17.7,62.8,2.2,999
2013-05-19,16.6,80.9,3.1,989
2013-05-20,14.4,76,3.2,993.8
2013-05-21,17.7,43.3,2,997.4
2013-05-22,19.7,49.4,2,1000.7
2013-05-23,22.1,59.3,2.1,1002.9
2013-05-24,21.3,58.9,2.6,1003.8
2013-05-25,24.7,49.6,2,1003.6
2013-05-26,23.9,45.9,2.5,1005.6
2013-05-27,19.7,80.4,3.5,999.6
2013-05-28,18.9,89.1,2.8,995.2
2013-05-29,16.1,87.8,3,998.7
2013-05-30,19.2,57.9,2.7,1002.4
2013-05-31,21.3,46.6,2.2,1000
2013-06-01,21.7,44.3,2.2,997.2
2013-06-02,23.5,48.6,2,997.1
2013-06-03,21.3,59,2.9,1001.8
2013-06-04,22.8,54.3,2,1006.2
2013-06-05,24.8,51.8,2,1006.5
2013-06-06,25,55.9,2.1,1004.4
2013-06-07,25.7,50.9,2.2,1001.6
2013-06-08,26.4,48.5,1.9,998.9
2013-06-09,27.4,38.3,2.2,997.2
2013-06-10,27.5,35.5,2.3,996.9
2013-06-11,23.7,57.9,2.6,996.4
2013-06-12,20.5,85.4,2.2,998.7
2013-06-13,23,70.5,1.9,1002.8
2013-06-14,24.6,62.3,2.3,1003
2013-06-15,24.6,58.4,2.6,1001.7
2013-06-16,22.5,69.8,2.8,998.1
2013-06-17,22.3,76.8,2.2,992.5
2013-06-18,21.7,90.1,1.9,986.9
2013-06-19,24.3,71.1,1.6,990.7
2013-06-20,25.8,58.5,1.8,995.4
2013-06-21,26.6,57.5,1.9,995.4
2013-06-22,25.1,63.9,2.5,996.4
2013-06-23,22.9,69.6,3.2,996.6
2013-06-24,23.5,66.6,2.3,996.2
2013-06-25,25.1,58.6,2.1,995.6
2013-06-26,24.5,59.8,2.6,992.7
2013-06-27,25.1,63.1,2.5,994.6
2013-06-28,25.5,61.1,2.3,996.5
2013-06-29,27.2,54.8,1.8,1000.3
2013-06-30,27.7,60.4,2,1000.3
2013-07-01,27.1,58.4,2.7,998.1
2013-07-02,24.3,82.5,4.6,989.9
2013-07-03,25.2,69.1,3.8,989.4
2013-07-04,24.9,84.3,3.5,988
2013-07-05,25.6,73.4,2.7,987.8
2013-07-06,25.2,73,2.7,996
2013-07-07,24.9,78.8,1.8,997.8
2013-07-08,24.3,88.6,3.5,996.8
2013-07-09,24.5,87.3,3.2,997.1
2013-07-10,25.3,82.8,3.9,996.1
2013-07-11,24.6,86,4.1,997.4
2013-07-12,23.6,88.4,4.9,997.8
2013-07-13,24.2,90.1,1.7,1000.8
2013-07-14,24.1,90.9,3.7,1001.4
2013-07-15,26.5,80.1,3.5,1000.6
2013-07-16,26.9,70.4,4.5,997.4
2013-07-17,24.2,89.1,3.7,998.4
2013-07-18,25.1,85.6,1.9,1000.1
2013-07-19,26.8,72,3.2,999.6
2013-07-20,27,72.4,4.2,997.9
2013-07-21,26.8,78.8,4.8,996.3
2013-07-22,26.4,81,3.1,997.9
2013-07-23,25.7,87.3,3.8,993.9
2013-07-24,24.7,79,4.6,990.3
2013-07-25,26,71.8,3.7,991.7
2013-07-26,26.5,70.9,2.9,993.4
2013-07-27,26.2,67.8,2.2,995.2
2013-07-28,25.3,85.5,2.1,993.4
2013-07-29,26.5,82.3,3.4,991.6
2013-07-30,26.3,73.9,2.2,991.7
2013-07-31,26.4,75.4,3.3,991.7
2013-08-01,28,67.3,1.7,996.7
2013-08-02,27.4,80.4,2,1000.4
2013-08-03,28.9,72.3,3.7,999
2013-08-04,28.3,76.4,2.4,994.5
2013-08-05,27.7,78.9,3.2,993.2
2013-08-06,26.4,80.8,2.4,996.3
2013-08-07,28.7,73.8,2.3,996.8
2013-08-08,29.3,73.5,3.7,994.7
2013-08-09,29.2,79.9,4.1,994.4
2013-08-10,28,82.4,2.4,998.5
2013-08-11,28.7,71.8,2.1,1000.8
2013-08-12,29.3,69.8,2.8,1000.7
2013-08-13,29,65.6,2.9,1000.5
2013-08-14,28.6,67.1,2.5,1000.6
2013-08-15,28.7,71.5,3.1,999.4
2013-08-16,28.7,71.8,3.7,996.5
2013-08-17,28.7,69.6,4.8,994.8
2013-08-18,28.3,72.8,4.1,995.2
2013-08-19,28.2,68.9,2.6,996.2
2013-08-20,27.4,62,1.7,997.2
2013-08-21,28.8,54.9,2.4,998.1
2013-08-22,29.3,58.6,2.3,999.1
2013-08-23,25.7,78.9,2.4,998
2013-08-24,26.6,60.4,1.8,996.6
2013-08-25,27.1,52.3,1.6,995.5
2013-08-26,27,52.3,2.4,994.9
2013-08-27,25.6,61.6,2.6,997.6
2013-08-28,26.4,59.4,2.7,996.9
2013-08-29,25.5,79.1,4.2,989
2013-08-30,25.1,69.6,3.3,992.8
2013-08-31,24,65.8,2.1,996.5
2013-09-01,23.5,54.6,2,1001.9
2013-09-02,22.4,49.9,2.1,1003.9
2013-09-03,21.7,43.5,2,1003.2
2013-09-04,22,46.5,2.2,1002.6
2013-09-05,21.2,52.9,2.7,1006.7
2013-09-06,20.8,59.6,2.3,1008.6
