date,meantemp,humidity,wind_speed,meanpressure,,,,,,,,,
2020-09-01,80.2,77.2,7.3,29.7,,,,,,,,,
2020-09-02,62.1,80.1,6.2,24.4,,,,,,,,,
2020-09-03,56.6,66.8,13.6,22.9,,,,,,,,,
2020-09-04,72.8,71.3,7.3,29.8,,,,,,,,,
2020-09-05,73,74.2,4.2,29.9,,,,,,,,,
2020-09-06,70.6,86.8,4.5,29.8,,,,,,,,,
2020-09-07,54.3,78.5,13.9,23.9,,,,,,,,,
2020-09-08,74.3,72.3,14,29.7,,,,,,,,,
2020-09-09,63,79.3,5.9,26.8,,,,,,,,,
2020-09-10,59.6,70.6,4.9,24.8,,,,,,,,,
2020-09-11,69.5,75.8,5.7,28.7,,,,,,,,,
2020-09-12,68.3,90.2,5.6,29.9,,,,,,,,,
2020-09-13,70.2,76.2,5.5,29.9,,,,,,,,,
2020-09-14,69.8,85.3,4.4,29.9,,,,,,,,,
2020-09-15,72.2,83.4,3.8,29.8,,,,,,,,,
2020-09-16,71.8,86.1,5.2,29.7,,,,,,,,,
2020-09-17,67.4,74.2,4.6,28.6,,,,,,,,,
2020-09-18,70.7,67.3,7.3,29.8,,,,,,,,,
2020-09-19,68.8,70.3,6.1,29.9,,,,,,,,,
2020-09-20,65.6,68.6,5.5,30,,,,,,,,,
2020-09-21,64.2,73.1,3.3,30,,,,,,,,,
2020-09-22,67,65.3,5.8,30,,,,,,,,,
2020-09-23,66.3,62.8,8,30,,,,,,,,,
2020-09-24,68.9,62.3,8.2,29.9,,,,,,,,,
2020-09-25,67.3,72.7,7.2,29.9,,,,,,,,,
2020-09-26,65.5,70,8.1,29.9,,,,,,,,,
2020-09-27,66.5,71,4.5,30,,,,,,,,,
2020-09-28,66.5,79,3.5,30,,,,,,,,,
2020-09-29,65,80.6,4,29.8,,,,,,,,,
2020-09-30,66.8,82.8,4.3,29.8,,,,,,,,,
2020-10-01,65.3,81.2,5.5,29.9,,,,,,,,,
2020-10-02,66.3,82.9,7.3,29.9,,,,,,,,,
2020-10-03,67.3,78.8,3.8,29.9,,,,,,,,,
2020-10-04,63.1,71.4,8,29.8,,,,,,,,,
2020-10-05,55.5,60.6,7.2,30,,,,,,,,,
2020-10-06,55.6,66,4.7,30.1,,,,,,,,,
2020-10-07,58.5,60.4,4.5,30.2,,,,,,,,,
2020-10-08,61.2,61.5,7.6,30.3,,,,,,,,,
2020-10-09,61.7,56.6,7.3,30.2,,,,,,,,,
